ticker,current_stock_price,discount_rate_pct,growth_rate1_pct,growth_rate2_pct,perpetuity_growth_rate_pct,mos_factor_pct,next_year_FCF
# ---
# discount_rate_pct
#   - use 8% for the best (like JNJ), 15% for the worst (growth companies)
#   - think of this as expected annual return
#
# growth_rate1_pct
#   - used for the first 5 years; estimate using last 10-yr net income/revenue growth rate
# 
# growth_rate2_pct
#   - used for the last 5 years; estimate using last 10-yr net income/revenue growth rate
#
# perpetuity_growth_rate_pct
#   - growth rate after 10 years; 3% is usually OK, unless you think biz is excellent and raise to 4% or more
#
# mos_factor_pct
#   - how confident are you with your numbers above. Use 80% for the best; 40% for the worst.
#
# next_year_FCF (optional)
#   - fill this only for bad companies for which we can't just use past 10 years average FCF


# -----------------------------------------------------
# insurance
# -----------------------------------------------------
TRV,131,8,5,5,3,75
CB,137,9,8,6,3,70
UVE,46,11,10,5,3,75


# -----------------------------------------------------
# software, hardware (tech)
# -----------------------------------------------------
MSFT,108,11,9,9,5,80
CHKP,115,10,13,10,5,75
INTU,220,9,15,10,5,75
NVDA,272,12,20,15,8,75
EFX,136,9,7,7,3,80
FB,163,10,15,15,5,75,13B


# -----------------------------------------------------
# pharma
# -----------------------------------------------------
JNJ,137,8,4.5,4.5,3,80
JAZZ,167,12,15,12,5,60
AMGN,196,12,10,10,5,70


# -----------------------------------------------------
# bank, asset mgmt
# -----------------------------------------------------
MN,2.80,15,-5,-8,-10,50,30M
BLK,474,8.5,12,10,4,80
BEN,31.23,10,2,1,1,70
BK,52,10,10,10,3,75


# -----------------------------------------------------
# energy
# -----------------------------------------------------
RDS-A,63,12.5,5,5,3,70


# -----------------------------------------------------
# auto
# -----------------------------------------------------
HMC,29,10,5,4,3,75
TM,119,9,5,4,3,75

